year,region,New dwellings,Average advance (new),Average income (new),Other dwellings,Average advance (other),Average income (other),All dwellings,Average advance (all),Average income (all)
1993.0,East Midlands,70000.0,47500.0,21750.0,50500.0,37500.0,18500.0,53500.0,39000.0,19000.0
1993.0,East of England,73000.0,52750.0,23750.0,65000.0,46500.0,22250.0,66500.0,47500.0,22500.0
1993.0,London,78000.0,57000.0,26750.0,80750.0,58750.0,28000.0,81000.0,59000.0,28000.0
1993.0,North East,73750.0,52500.0,25000.0,45500.0,35000.0,17500.0,48500.0,37000.0,18250.0
1993.0,North West,72750.0,51750.0,24750.0,53250.0,40000.0,19000.0,55750.0,41250.0,19750.0
1993.0,Northern Ireland,53000.0,37250.0,19500.0,34250.0,26750.0,15750.0,38750.0,29250.0,16750.0
1993.0,Scotland,73750.0,50500.0,24250.0,45750.0,34500.0,18500.0,49000.0,36250.0,19000.0
1993.0,South East,88500.0,62000.0,27250.0,74500.0,52250.0,24500.0,77000.0,53500.0,24750.0
1993.0,South West,66500.0,47000.0,21500.0,60250.0,42500.0,19750.0,61250.0,42750.0,20250.0
1993.0,United Kingdom,73000.0,51500.0,23750.0,60000.0,43750.0,21000.0,62250.0,44750.0,21500.0
1993.0,Wales,67500.0,47750.0,22750.0,50000.0,37750.0,18500.0,52500.0,39000.0,19000.0
1993.0,West Midlands,68500.0,49500.0,22500.0,57000.0,41250.0,19500.0,58250.0,42000.0,19750.0
1993.0,Yorkshire and the Humber,75500.0,50250.0,23500.0,51750.0,37750.0,18250.0,54750.0,39250.0,19250.0
1994.0,East Midlands,70750.0,51250.0,23750.0,51750.0,38750.0,18500.0,54750.0,40500.0,19250.0
1994.0,East of England,78750.0,56250.0,25750.0,67250.0,49000.0,23000.0,69250.0,50250.0,23250.0
1994.0,London,75000.0,55750.0,24750.0,87000.0,63750.0,29000.0,87500.0,63250.0,29000.0
1994.0,North East,73250.0,47750.0,24250.0,45750.0,35500.0,18250.0,49000.0,37000.0,18750.0
1994.0,North West,72500.0,53250.0,24250.0,54500.0,41000.0,20000.0,57250.0,42500.0,20500.0
1994.0,Northern Ireland,50750.0,37500.0,18250.0,34000.0,27750.0,15500.0,39000.0,30500.0,16250.0
1994.0,Scotland,71000.0,51000.0,24500.0,47500.0,36000.0,19500.0,50250.0,37500.0,19750.0
1994.0,South East,92500.0,64750.0,28750.0,80250.0,56250.0,26000.0,82250.0,57250.0,26000.0
1994.0,South West,76750.0,52000.0,23750.0,62750.0,45250.0,20750.0,64750.0,45750.0,21250.0
1994.0,United Kingdom,74500.0,53250.0,24250.0,62500.0,45750.0,21750.0,64750.0,47000.0,22250.0
1994.0,Wales,65750.0,48500.0,24750.0,50000.0,37750.0,19000.0,52750.0,39500.0,19250.0
1994.0,West Midlands,72000.0,50500.0,23250.0,57000.0,41500.0,19250.0,59250.0,42500.0,20000.0
1994.0,Yorkshire and the Humber,71500.0,51750.0,23000.0,52000.0,39000.0,19000.0,54250.0,40250.0,19000.0
1995.0,East Midlands,70500.0,52500.0,25750.0,51500.0,38500.0,19250.0,55000.0,40750.0,20250.0
1995.0,East of England,82000.0,60250.0,27750.0,67500.0,50250.0,23750.0,69500.0,51750.0,24250.0
1995.0,London,84000.0,63750.0,31000.0,88500.0,65250.0,29750.0,89500.0,65250.0,30250.0
1995.0,North East,68500.0,51250.0,24250.0,43750.0,34250.0,18250.0,46250.0,36250.0,18750.0
1995.0,North West,74000.0,55750.0,26250.0,52750.0,40500.0,20000.0,56000.0,43000.0,20750.0
